[DEBUG] [2016-09-19 10:13:35,902] [83   ] [Abp.Modules.AbpModuleManager            ] [Loaded module: Cinotam.Cms.DatabaseTemplateProvider.CinotamCmsDatabaseTemplateProvider, Cinotam.Cms.DatabaseTemplateProvider, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]
[DEBUG] [2016-09-19 10:13:35,919] [83   ] [Abp.Modules.AbpModuleManager            ] [Loaded module: Cinotam.Cms.FileSystemTemplateProvider.CinotamCmsFileSystemTemplateProvider, Cinotam.Cms.FileSystemTemplateProvider, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]
[DEBUG] [2016-09-19 10:13:35,919] [83   ] [Abp.Modules.AbpModuleManager            ] [Loaded module: Abp.Web.SignalR.AbpWebSignalRModule, Abp.Web.SignalR, Version=0.12.0.0, Culture=neutral, PublicKeyToken=null]
[DEBUG] [2016-09-19 10:13:35,919] [83   ] [Abp.Modules.AbpModuleManager            ] [Loaded module: Abp.Hangfire.AbpHangfireModule, Abp.HangFire, Version=0.12.0.0, Culture=neutral, PublicKeyToken=null]
[DEBUG] [2016-09-19 10:13:35,919] [83   ] [Abp.Modules.AbpModuleManager            ] [Loaded module: Abp.Web.Mvc.AbpWebMvcModule, Abp.Web.Mvc, Version=0.12.0.0, Culture=neutral, PublicKeyToken=null]
[DEBUG] [2016-09-19 10:13:35,919] [83   ] [Abp.Modules.AbpModuleManager            ] [Loaded module: Cinotam.ModuleZero.BackgroundTasks.CinotamModuleZeroBackground, Cinotam.ModuleZero.BackgroundTasks, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]
[DEBUG] [2016-09-19 10:13:35,922] [83   ] [Abp.Modules.AbpModuleManager            ] [29 modules loaded.]
[DEBUG] [2016-09-19 10:13:36,083] [83   ] [o.Configuration.LanguageManagementConfig] [Converted Abp (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource]
[DEBUG] [2016-09-19 10:13:36,083] [83   ] [o.Configuration.LanguageManagementConfig] [Converted AbpZero (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource]
[DEBUG] [2016-09-19 10:13:36,083] [83   ] [o.Configuration.LanguageManagementConfig] [Converted AbpModuleZero (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource]
[DEBUG] [2016-09-19 10:13:36,083] [83   ] [o.Configuration.LanguageManagementConfig] [Converted CinotamSmartAdmin (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource]
[DEBUG] [2016-09-19 10:13:36,083] [83   ] [o.Configuration.LanguageManagementConfig] [Converted AbpWeb (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource]
[INFO ] [2016-09-19 10:13:36,104] [83   ] [Hangfire.SqlServer.SqlServerStorage     ] [Start installing Hangfire SQL objects...]
[INFO ] [2016-09-19 10:13:36,120] [83   ] [Hangfire.SqlServer.SqlServerStorage     ] [Hangfire SQL objects installed.]
[DEBUG] [2016-09-19 10:13:36,392] [83   ] [EntityFramework.AbpEntityFrameworkModule] [Registering DbContext: Cinotam.AbpModuleZero.EntityFramework.AbpModuleZeroDbContext, Cinotam.AbpModuleZero.EntityFramework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]
[DEBUG] [2016-09-19 10:13:37,312] [83   ] [Abp.Localization.LocalizationManager    ] [Initializing 5 localization sources.]
[DEBUG] [2016-09-19 10:13:37,316] [83   ] [Abp.Localization.LocalizationManager    ] [Initialized localization source: Abp]
[DEBUG] [2016-09-19 10:13:37,317] [83   ] [Abp.Localization.LocalizationManager    ] [Initialized localization source: AbpZero]
[DEBUG] [2016-09-19 10:13:37,318] [83   ] [Abp.Localization.LocalizationManager    ] [Initialized localization source: AbpModuleZero]
[DEBUG] [2016-09-19 10:13:37,318] [83   ] [Abp.Localization.LocalizationManager    ] [Initialized localization source: CinotamSmartAdmin]
[DEBUG] [2016-09-19 10:13:37,318] [83   ] [Abp.Localization.LocalizationManager    ] [Initialized localization source: AbpWeb]
[DEBUG] [2016-09-19 10:13:37,322] [83   ] [bp.Hangfire.HangfireBackgroundJobManager] [Start background worker: Abp.Hangfire.HangfireBackgroundJobManager]
[INFO ] [2016-09-19 10:13:37,330] [83   ] [Hangfire.BackgroundJobServer            ] [Starting Hangfire Server]
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [Using job storage: 'SQL Server: localhost@AbpModuleZero']
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [Using the following options for SQL Server job storage:]
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [    Queue poll interval: 00:00:15.]
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [Using the following options for Hangfire Server:]
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [    Worker count: 20]
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [    Listening queues: 'default']
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [    Shutdown timeout: 00:00:15]
[INFO ] [2016-09-19 10:13:37,332] [83   ] [Hangfire.BackgroundJobServer            ] [    Schedule polling interval: 00:00:15]
[DEBUG] [2016-09-19 10:13:37,339] [erver] [ngfire.Server.BackgroundProcessingServer] [Background process 'BackgroundProcessingServer' started.]
[DEBUG] [2016-09-19 10:13:37,442] [tbeat] [Hangfire.Server.ServerHeartbeat         ] [Background process 'ServerHeartbeat' started.]
[DEBUG] [2016-09-19 10:13:37,442] [chdog] [Hangfire.Server.ServerWatchdog          ] [Background process 'ServerWatchdog' started.]
[DEBUG] [2016-09-19 10:13:37,444] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Background process 'Hangfire.SqlServer.ExpirationManager' started.]
[DEBUG] [2016-09-19 10:13:37,445] [gator] [Hangfire.SqlServer.CountersAggregator   ] [Background process 'Hangfire.SqlServer.CountersAggregator' started.]
[DEBUG] [2016-09-19 10:13:37,445] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Removing outdated records from the 'AggregatedCounter' table...]
[DEBUG] [2016-09-19 10:13:37,445] [gator] [Hangfire.SqlServer.CountersAggregator   ] [Aggregating records in 'Counter' table...]
[DEBUG] [2016-09-19 10:13:37,446] [4446e] [Hangfire.Server.Worker                  ] [Background process 'Worker #7154446e' started.]
[DEBUG] [2016-09-19 10:13:37,450] [a091f] [Hangfire.Server.Worker                  ] [Background process 'Worker #970a091f' started.]
[DEBUG] [2016-09-19 10:13:37,452] [fa497] [Hangfire.Server.Worker                  ] [Background process 'Worker #e3bfa497' started.]
[DEBUG] [2016-09-19 10:13:37,452] [76cb9] [Hangfire.Server.Worker                  ] [Background process 'Worker #03676cb9' started.]
[DEBUG] [2016-09-19 10:13:37,454] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Outdated records removed from the 'AggregatedCounter' table.]
[DEBUG] [2016-09-19 10:13:37,454] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Removing outdated records from the 'Job' table...]
[DEBUG] [2016-09-19 10:13:37,455] [5fa89] [Hangfire.Server.Worker                  ] [Background process 'Worker #6e35fa89' started.]
[DEBUG] [2016-09-19 10:13:37,457] [69e20] [Hangfire.Server.Worker                  ] [Background process 'Worker #85769e20' started.]
[DEBUG] [2016-09-19 10:13:37,460] [gator] [Hangfire.SqlServer.CountersAggregator   ] [Records from the 'Counter' table aggregated.]
[DEBUG] [2016-09-19 10:13:37,471] [40761] [Hangfire.Server.Worker                  ] [Background process 'Worker #c4440761' started.]
[DEBUG] [2016-09-19 10:13:37,472] [14a6d] [Hangfire.Server.Worker                  ] [Background process 'Worker #88c14a6d' started.]
[DEBUG] [2016-09-19 10:13:37,472] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Outdated records removed from the 'Job' table.]
[DEBUG] [2016-09-19 10:13:37,472] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Removing outdated records from the 'List' table...]
[DEBUG] [2016-09-19 10:13:37,473] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Outdated records removed from the 'List' table.]
[DEBUG] [2016-09-19 10:13:37,473] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Removing outdated records from the 'Set' table...]
[DEBUG] [2016-09-19 10:13:37,473] [ea461] [Hangfire.Server.Worker                  ] [Background process 'Worker #ab9ea461' started.]
[DEBUG] [2016-09-19 10:13:37,473] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Outdated records removed from the 'Set' table.]
[DEBUG] [2016-09-19 10:13:37,473] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Removing outdated records from the 'Hash' table...]
[DEBUG] [2016-09-19 10:13:37,474] [nager] [Hangfire.SqlServer.ExpirationManager    ] [Outdated records removed from the 'Hash' table.]
[DEBUG] [2016-09-19 10:13:37,474] [bc9c7] [Hangfire.Server.Worker                  ] [Background process 'Worker #c40bc9c7' started.]
[DEBUG] [2016-09-19 10:13:37,475] [af5b6] [Hangfire.Server.Worker                  ] [Background process 'Worker #8c9af5b6' started.]
[DEBUG] [2016-09-19 10:13:37,475] [d200d] [Hangfire.Server.Worker                  ] [Background process 'Worker #c61d200d' started.]
[DEBUG] [2016-09-19 10:13:37,476] [8e554] [Hangfire.Server.Worker                  ] [Background process 'Worker #e198e554' started.]
[DEBUG] [2016-09-19 10:13:37,476] [9b100] [Hangfire.Server.Worker                  ] [Background process 'Worker #1279b100' started.]
[DEBUG] [2016-09-19 10:13:37,476] [dc685] [Hangfire.Server.Worker                  ] [Background process 'Worker #009dc685' started.]
[DEBUG] [2016-09-19 10:13:37,477] [4e172] [Hangfire.Server.Worker                  ] [Background process 'Worker #7a54e172' started.]
[DEBUG] [2016-09-19 10:13:37,478] [cdd09] [Hangfire.Server.Worker                  ] [Background process 'Worker #b06cdd09' started.]
[DEBUG] [2016-09-19 10:13:37,478] [c33bc] [Hangfire.Server.Worker                  ] [Background process 'Worker #ca0c33bc' started.]
[DEBUG] [2016-09-19 10:13:37,479] [6999f] [Hangfire.Server.Worker                  ] [Background process 'Worker #cce6999f' started.]
[DEBUG] [2016-09-19 10:13:37,479] [fde84] [Hangfire.Server.Worker                  ] [Background process 'Worker #bc7fde84' started.]
[DEBUG] [2016-09-19 10:13:37,479] [duler] [Hangfire.Server.DelayedJobScheduler     ] [Background process 'DelayedJobScheduler' started.]
[DEBUG] [2016-09-19 10:13:37,480] [duler] [Hangfire.Server.RecurringJobScheduler   ] [Background process 'RecurringJobScheduler' started.]
[DEBUG] [2016-09-19 10:13:38,104] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.Users.IUserAppService' with service name 'app/user'.]
[DEBUG] [2016-09-19 10:13:38,105] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.Settings.ISettingsAppService' with service name 'app/settings'.]
[DEBUG] [2016-09-19 10:13:38,106] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.Sessions.ISessionAppService' with service name 'app/session'.]
[DEBUG] [2016-09-19 10:13:38,107] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.Roles.IRoleAppService' with service name 'app/role'.]
[DEBUG] [2016-09-19 10:13:38,108] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.Notifications.INotificationService' with service name 'app/notificationService'.]
[DEBUG] [2016-09-19 10:13:38,109] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.MultiTenancy.ITenantAppService' with service name 'app/tenant'.]
[DEBUG] [2016-09-19 10:13:38,110] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.Languages.ILanguageAppService' with service name 'app/language'.]
[DEBUG] [2016-09-19 10:13:38,111] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.ModuleZero.AppModule.AuditLogs.IAuditLogService' with service name 'app/auditLogService'.]
[DEBUG] [2016-09-19 10:13:38,112] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.Cms.App.Templates.ITemplateService' with service name 'cms/templateService'.]
[DEBUG] [2016-09-19 10:13:38,113] [83   ] [Abp.Logging.LogHelper                   ] [Dynamic web api controller is created for type 'Cinotam.Cms.App.Pages.IPagesService' with service name 'cms/pagesService'.]
[DEBUG] [2016-09-19 10:13:38,219] [83   ] [Abp.AutoMapper.AbpAutoMapperModule      ] [Found 12 classes defines auto mapping attributes]
[DEBUG] [2016-09-19 10:13:38,219] [83   ] [Abp.AutoMapper.AbpAutoMapperModule      ] [Cinotam.AbpModuleZero.Web.Models.Account.TenantSelectionViewModel+TenantInfo]
